Type of Traveler,Route Point,Airport Code,Trips,Source Row Number,Row ID,Passenger Email,Purchase Date,Travel Date,Passenger ID,Airline,Ticket Price,Route,Ticket Type,Person,Person-1,Ticket Price-1,Airport Code-1,Airport Name,Latitude,Longitude
Casual,Origin,DFW,10,23,3911,tboeckenhauer@vizpainter.com,2019/2/25,2019/4/10,VT-21700,American (AA),396,DFW-BUF,1st Class,Tom Boeckenhauer,Tom Boeckenhauer,174.2,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,BUF,10,23,3911,tboeckenhauer@vizpainter.com,2019/2/25,2019/4/10,VT-21700,American (AA),396,DFW-BUF,1st Class,Tom Boeckenhauer,Tom Boeckenhauer,174.2,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062
Infrequent,Origin,DFW,1,24,9559,sluxemburg@vizpainter.com,2020/1/29,2020/5/5,SM-20905,American (AA),325,DFW-HIO,Economy,Sara Luxemburg,Sara Luxemburg,325,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,HIO,1,24,9559,sluxemburg@vizpainter.com,2020/1/29,2020/5/5,SM-20905,American (AA),325,DFW-HIO,Economy,Sara Luxemburg,Sara Luxemburg,325,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Frequent,Origin,DFW,11,25,147,mcrier@vizpainter.com,2018/10/19,2018/10/28,MG-17680,United,325,DFW-MCO,Economy,Marc Crier,Marc Crier,180.727272727,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,MCO,11,25,147,mcrier@vizpainter.com,2018/10/19,2018/10/28,MG-17680,United,325,DFW-MCO,Economy,Marc Crier,Marc Crier,180.727272727,MCO,Orlando International Airport,28.42939949,-81.30899811
Extreme,Origin,DFW,17,26,165,bpaige@vizpainter.com,2018/7/30,2018/9/12,BM-11140,United,198,DFW-CMH,Business,Beth Paige,Beth Paige,163.294117647,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,CMH,17,26,165,bpaige@vizpainter.com,2018/7/30,2018/9/12,BM-11140,United,198,DFW-CMH,Business,Beth Paige,Beth Paige,163.294117647,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,8,27,8769,hjas@vizpainter.com,2019/7/24,2019/10/9,IL-15100,American Airlines,285,DFW-HIO,Business,Heather Jas,Heather Jas,143.25,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,HIO,8,27,8769,hjas@vizpainter.com,2019/7/24,2019/10/9,IL-15100,American Airlines,285,DFW-HIO,Business,Heather Jas,Heather Jas,143.25,HIO,Portland Hillsboro Airport,45.540401,-122.949997
Casual,Origin,DFW,10,28,3941,tsissman@vizpainter.com,2021/3/13,2021/5/23,TS-21340,American (AA),465,DFW-MCO,1st Class,Thais Sissman,Thais Sissman,144.3,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,10,28,3941,tsissman@vizpainter.com,2021/3/13,2021/5/23,TS-21340,American (AA),465,DFW-MCO,1st Class,Thais Sissman,Thais Sissman,144.3,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,8,29,7315,sfoulston@vizpainter.com,2020/5/5,2020/6/2,TN-21040,American,198,DFW-SAN,Economy,Sylvia Foulston,Sylvia Foulston,126,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SAN,8,29,7315,sfoulston@vizpainter.com,2020/5/5,2020/6/2,TN-21040,American,198,DFW-SAN,Economy,Sylvia Foulston,Sylvia Foulston,126,SAN,San Diego International Airport,32.73360062,-117.1900024
Casual,Origin,DFW,10,30,8286,scooley@vizpainter.com,2019/12/11,2019/12/26,SZ-20035,Delta,323,DFW-MCO,Business,Sonia Cooley,Sonia Cooley,256.2,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,10,30,8286,scooley@vizpainter.com,2019/12/11,2019/12/26,SZ-20035,Delta,323,DFW-MCO,Business,Sonia Cooley,Sonia Cooley,256.2,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,6,31,4419,mlichtenstein@vizpainter.com,2018/11/10,2018/12/27,MH-17455,Delta,284,DFW-MCO,Economy,Marina Lichtenstein,Marina Lichtenstein,194.333333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,6,31,4419,mlichtenstein@vizpainter.com,2018/11/10,2018/12/27,MH-17455,Delta,284,DFW-MCO,Economy,Marina Lichtenstein,Marina Lichtenstein,194.333333333,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,10,32,8920,agerbode@vizpainter.com,2018/3/9,2018/4/8,AH-10690,Delta,306,DFW-MCO,Economy,Andy Gerbode,Andy Gerbode,167.4,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,10,32,8920,agerbode@vizpainter.com,2018/3/9,2018/4/8,AH-10690,Delta,306,DFW-MCO,Economy,Andy Gerbode,Andy Gerbode,167.4,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,8,33,5588,fgastineau@vizpainter.com,2019/2/21,2019/3/20,GA-14725,AA,137,DFW-BUR,Economy,Frank Gastineau,Frank Gastineau,151.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,BUR,8,33,5588,fgastineau@vizpainter.com,2019/2/21,2019/3/20,GA-14725,AA,137,DFW-BUR,Economy,Frank Gastineau,Frank Gastineau,151.5,BUR,Bob Hope Airport,34.20069885,-118.3590012
Frequent,Origin,DFW,11,34,4128,jstevenson@vizpainter.com,2018/8/17,2018/9/24,JL-15835,Delta,225,DFW-JFK,Economy,Jill Stevenson,Jill Stevenson,156.272727273,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,JFK,11,34,4128,jstevenson@vizpainter.com,2018/8/17,2018/9/24,JL-15835,Delta,225,DFW-JFK,Economy,Jill Stevenson,Jill Stevenson,156.272727273,JFK,John F Kennedy International Airport,40.63980103,-73.77890015
Infrequent,Origin,DFW,4,35,7039,,2021/8/21,2021/9/27,PB-19105,United,135,DFW-CMH,Economy,Neil Ducich,Neil Ducich,126.75,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,CMH,4,35,7039,,2021/8/21,2021/9/27,PB-19105,United,135,DFW-CMH,Economy,Neil Ducich,Neil Ducich,126.75,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Extreme,Origin,DFW,19,36,7297,mhuthwaite@vizpainter.com,2018/3/22,2018/5/5,NC-18340,United,301,DFW-BUR,Business,Michelle Huthwaite,Michelle Huthwaite,191,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Extreme,Destination,BUR,19,36,7297,mhuthwaite@vizpainter.com,2018/3/22,2018/5/5,NC-18340,United,301,DFW-BUR,Business,Michelle Huthwaite,Michelle Huthwaite,191,BUR,Bob Hope Airport,34.20069885,-118.3590012
Infrequent,Origin,DFW,2,37,8573,bmoss@vizpainter.com,2018/11/13,2018/12/2,BT-11680,United,342,DFW-CHS,Business,Brian Moss,Brian Moss,324,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,CHS,2,37,8573,bmoss@vizpainter.com,2018/11/13,2018/12/2,BT-11680,United,342,DFW-CHS,Business,Brian Moss,Brian Moss,324,CHS,Charleston Air Force Base-International Airport,32.89860153,-80.04049683
Infrequent,Origin,DFW,2,38,8005,abellavance@vizpainter.com,2018/10/19,2018/12/3,AA-10645,United,266,DFW-MCO,Business,Adam Bellavance,Adam Bellavance,247,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,MCO,2,38,8005,abellavance@vizpainter.com,2018/10/19,2018/12/3,AA-10645,United,266,DFW-MCO,Business,Adam Bellavance,Adam Bellavance,247,MCO,Orlando International Airport,28.42939949,-81.30899811
Infrequent,Origin,DFW,3,39,6796,lpreis@vizpainter.com,2019/11/1,2019/11/20,MC-17605,American,274,DFW-MCO,Business,Liz Preis,Liz Preis,398.333333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,MCO,3,39,6796,lpreis@vizpainter.com,2019/11/1,2019/11/20,MC-17605,American,274,DFW-MCO,Business,Liz Preis,Liz Preis,398.333333333,MCO,Orlando International Airport,28.42939949,-81.30899811
Frequent,Origin,DFW,12,40,2973,jmolinari@vizpainter.com,2021/9/23,2021/11/9,JF-15565,American (AA),335,DFW-JFK,Business,Janet Molinari,Janet Molinari,183.916666667,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,JFK,12,40,2973,jmolinari@vizpainter.com,2021/9/23,2021/11/9,JF-15565,American (AA),335,DFW-JFK,Business,Janet Molinari,Janet Molinari,183.916666667,JFK,John F Kennedy International Airport,40.63980103,-73.77890015
Casual,Origin,DFW,8,41,6147,nchilds@vizpainter.com,2021/10/18,2021/11/24,PJ-18835,Delta,98,DFW-CMH,Economy,Noah Childs,Noah Childs,201.125,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,8,41,6147,nchilds@vizpainter.com,2021/10/18,2021/11/24,PJ-18835,Delta,98,DFW-CMH,Economy,Noah Childs,Noah Childs,201.125,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,7,42,2889,ehernandez@vizpainter.com,2021/10/16,2021/12/19,EP-13915,American (AA),358,DFW-COS,Business,Erica Hernandez,Erica Hernandez,214.142857143,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,7,42,2889,ehernandez@vizpainter.com,2021/10/16,2021/12/19,EP-13915,American (AA),358,DFW-COS,Business,Erica Hernandez,Erica Hernandez,214.142857143,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Infrequent,Origin,DFW,2,43,2542,jdeggeller@vizpainter.com,2020/2/24,2020/5/4,KD-16615,Delta,182,DFW-MCO,Economy,Justin Deggeller,Justin Deggeller,163.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,MCO,2,43,2542,jdeggeller@vizpainter.com,2020/2/24,2020/5/4,KD-16615,Delta,182,DFW-MCO,Economy,Justin Deggeller,Justin Deggeller,163.5,MCO,Orlando International Airport,28.42939949,-81.30899811
Casual,Origin,DFW,10,44,1252,dmartin@vizpainter.com,2021/11/13,2021/12/24,DJ-13630,United,241,DFW-CMH,Economy,Darrin Martin,Darrin Martin,164,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,CMH,10,44,1252,dmartin@vizpainter.com,2021/11/13,2021/12/24,DJ-13630,United,241,DFW-CMH,Economy,Darrin Martin,Darrin Martin,164,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,7,45,6257,awitt@vizpainter.com,2019/6/28,2019/9/8,AT-10435,American Airlines,164,DFW-SEA,Business,Anthony Witt,Anthony Witt,127,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,7,45,6257,awitt@vizpainter.com,2019/6/28,2019/9/8,AT-10435,American Airlines,164,DFW-SEA,Business,Anthony Witt,Anthony Witt,127,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Frequent,Origin,DFW,13,46,4850,lryan@vizpainter.com,2018/9/7,2018/9/14,MC-17275,Delta,183,DFW-CMH,Economy,Lisa Ryan,Lisa Ryan,147,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,CMH,13,46,4850,lryan@vizpainter.com,2018/9/7,2018/9/14,MC-17275,Delta,183,DFW-CMH,Economy,Lisa Ryan,Lisa Ryan,147,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,5,47,3193,mabelman@vizpainter.com,2021/4/27,2021/6/7,ML-18040,Delta,161,DFW-SEA,Business,Matt Abelman,Matt Abelman,181.4,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SEA,5,47,3193,mabelman@vizpainter.com,2021/4/27,2021/6/7,ML-18040,Delta,161,DFW-SEA,Business,Matt Abelman,Matt Abelman,181.4,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Frequent,Origin,DFW,11,48,9356,lshagiari@vizpainter.com,2019/11/18,2019/12/5,MA-17560,United,196,DFW-CMH,Business,Lindsay Shagiari,Lindsay Shagiari,178.909090909,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,CMH,11,48,9356,lshagiari@vizpainter.com,2019/11/18,2019/12/5,MA-17560,United,196,DFW-CMH,Business,Lindsay Shagiari,Lindsay Shagiari,178.909090909,CMH,Port Columbus International Airport,39.9980011,-82.89189911
Casual,Origin,DFW,9,49,1264,cludwig@vizpainter.com,2020/9/1,2020/10/2,CC-12220,Delta,302,DFW-SAN,Economy,Carl Ludwig,Carl Ludwig,158.111111111,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,SAN,9,49,1264,cludwig@vizpainter.com,2020/9/1,2020/10/2,CC-12220,Delta,302,DFW-SAN,Economy,Carl Ludwig,Carl Ludwig,158.111111111,SAN,San Diego International Airport,32.73360062,-117.1900024
Casual,Origin,DFW,7,50,4582,aandreadi@vizpainter.com,2020/8/26,2020/9/22,AP-10720,American (AA),338,DFW-MCO,Economy,Anna Andreadi,Anna Andreadi,238.428571429,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,MCO,7,50,4582,aandreadi@vizpainter.com,2020/8/26,2020/9/22,AP-10720,American (AA),338,DFW-MCO,Economy,Anna Andreadi,Anna Andreadi,238.428571429,MCO,Orlando International Airport,28.42939949,-81.30899811
Infrequent,Origin,DFW,2,51,9701,kharms@vizpainter.com,2021/11/24,2021/12/19,KM-16660,AA,405,DFW-SAN,1st Class,Katharine Harms,Katharine Harms,296,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SAN,2,51,9701,kharms@vizpainter.com,2021/11/24,2021/12/19,KM-16660,AA,405,DFW-SAN,1st Class,Katharine Harms,Katharine Harms,296,SAN,San Diego International Airport,32.73360062,-117.1900024
Casual,Origin,DFW,8,52,1523,fharton@vizpainter.com,2019/9/22,2019/12/11,GH-14425,United,133,DFW-COS,Economy,Fred Harton,Fred Harton,179.5,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,COS,8,52,1523,fharton@vizpainter.com,2019/9/22,2019/12/11,GH-14425,United,133,DFW-COS,Economy,Fred Harton,Fred Harton,179.5,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Casual,Origin,DFW,5,53,9314,arussell@vizpainter.com,2019/10/20,2019/11/11,AG-10495,American Airlines,315,DFW-JFK,Economy,Alex Russell,Alex Russell,175.8,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Casual,Destination,JFK,5,53,9314,arussell@vizpainter.com,2019/10/20,2019/11/11,AG-10495,American Airlines,315,DFW-JFK,Economy,Alex Russell,Alex Russell,175.8,JFK,John F Kennedy International Airport,40.63980103,-73.77890015
Frequent,Origin,DFW,14,54,4481,tturnell@vizpainter.com,2020/8/27,2020/11/8,XP-21865,AA,479,DFW-BUR,1st Class,Tonja Turnell,Tonja Turnell,174.571428571,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,BUR,14,54,4481,tturnell@vizpainter.com,2020/8/27,2020/11/8,XP-21865,AA,479,DFW-BUR,1st Class,Tonja Turnell,Tonja Turnell,174.571428571,BUR,Bob Hope Airport,34.20069885,-118.3590012
Frequent,Origin,DFW,11,55,1270,dlawera@vizpainter.com,2021/3/11,2021/6/8,DC-12850,United,155,DFW-COS,Economy,Dan Lawera,Dan Lawera,194.454545455,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Frequent,Destination,COS,11,55,1270,dlawera@vizpainter.com,2021/3/11,2021/6/8,DC-12850,United,155,DFW-COS,Economy,Dan Lawera,Dan Lawera,194.454545455,COS,City of Colorado Springs Municipal Airport,38.80580139,-104.7009964
Infrequent,Origin,DFW,3,56,6003,qjones@vizpainter.com,2018/11/25,2018/12/17,RF-19345,United,123,DFW-SEA,Economy,Quincy Jones,Quincy Jones,166.333333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
Infrequent,Destination,SEA,3,56,6003,qjones@vizpainter.com,2018/11/25,2018/12/17,RF-19345,United,123,DFW-SEA,Economy,Quincy Jones,Quincy Jones,166.333333333,SEA,Seattle Tacoma International Airport,47.44900131,-122.3089981
Extreme,Origin,DFW,18,57,4659,sweien@vizpainter.com,2019/4/24,2019/5/7,SV-20785,United,161,DFW-COS,Economy,Shaun Weien,Shaun Weien,190.833333333,DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201
